Date,Open,High,Low,Close,Volume,Adj Close
2016-09-30,1031.09998,1043.90002,1031.09998,1036.05005,3251100,1036.05005
2016-09-29,1044.94995,1044.94995,1024.00,1029.19995,4451300,1029.19995
2016-09-28,1040.00,1042.30005,1033.25,1038.94995,2717300,1038.94995
2016-09-27,1035.05005,1049.90002,1033.34998,1039.75,3262800,1039.75
2016-09-26,1042.75,1044.00,1031.00,1035.90002,3185800,1035.90002
2016-09-23,1057.00,1058.80005,1040.00,1042.55005,2602600,1042.55005
2016-09-22,1059.00,1061.00,1052.00,1058.80005,1814700,1058.80005
2016-09-21,1054.00,1061.25,1051.05005,1055.75,2115700,1055.75
2016-09-20,1053.30005,1057.15002,1045.75,1050.15002,2107000,1050.15002
2016-09-19,1046.00,1068.90002,1041.34998,1061.19995,2904500,1061.19995
2016-09-16,1049.00,1064.50,1038.09998,1060.15002,4974600,1060.15002
2016-09-15,1045.59998,1046.80005,1035.34998,1042.19995,2350800,1042.19995
2016-09-14,1053.94995,1057.80005,1040.65002,1045.59998,2576200,1045.59998
2016-09-13,1054.00,1054.00,1054.00,1054.00,000,1054.00
2016-09-12,1025.25,1058.00,1025.25,1054.00,3101500,1054.00
2016-09-09,1037.00,1041.00,1026.55005,1035.50,2526700,1035.50
2016-09-08,1045.00,1045.00,1024.00,1037.65002,4546300,1037.65002
2016-09-07,1048.00,1059.00,1044.00,1054.34998,3712700,1054.34998
2016-09-06,1038.25,1048.90002,1035.59998,1045.00,4107500,1045.00
2016-09-05,1031.84998,1031.84998,1031.84998,1031.84998,000,1031.84998
2016-09-02,1039.05005,1040.00,1026.19995,1031.84998,1666200,1031.84998
2016-09-01,1038.00,1040.44995,1032.00,1037.55005,1438900,1037.55005
2016-08-31,1037.09998,1045.75,1027.80005,1035.84998,5569900,1035.84998
2016-08-30,1032.44995,1045.00,1025.00,1040.40002,2187700,1040.40002
2016-08-29,1017.59998,1030.00,1011.00,1022.79999,2610100,1022.79999
2016-08-26,1036.00,1046.00,1017.04999,1020.25,3440500,1020.25
2016-08-25,1055.00,1057.59998,1032.09998,1036.15002,2398200,1036.15002
2016-08-24,1047.00,1062.05005,1047.00,1057.40002,3064900,1057.40002
2016-08-23,1020.09998,1042.00,1020.09998,1039.65002,3703000,1039.65002
2016-08-22,1018.00,1030.00,1009.09998,1015.45001,5126700,1015.45001
2016-08-19,1030.00,1039.00,1018.45001,1021.29999,2843000,1021.29999
2016-08-18,1036.50,1039.09998,1021.50,1023.40002,4217000,1023.40002
2016-08-17,1049.94995,1052.65002,1030.50,1033.30005,3299600,1033.30005
2016-08-16,1042.00,1058.05005,1028.00,1051.80005,8214700,1051.80005
2016-08-15,1062.55005,1062.55005,1062.55005,1062.55005,000,1062.55005
2016-08-12,1075.05005,1078.80005,1060.00,1062.55005,3724900,1062.55005
2016-08-11,1081.69995,1095.00,1075.25,1077.34998,2519200,1077.34998
2016-08-10,1076.00,1087.90002,1075.19995,1082.34998,2788200,1082.34998
2016-08-09,1077.00,1084.50,1071.50,1083.40002,3596300,1083.40002
2016-08-08,1069.00,1081.00,1062.55005,1078.69995,2321500,1078.69995
2016-08-05,1072.00,1073.44995,1060.00,1068.00,2804900,1068.00
2016-08-04,1086.40002,1086.90002,1070.05005,1071.80005,2118600,1071.80005
2016-08-03,1085.65002,1086.50,1070.30005,1084.90002,3606700,1084.90002
2016-08-02,1079.90002,1085.00,1075.00,1083.80005,3411200,1083.80005
2016-08-01,1071.50,1087.84998,1068.34998,1085.25,4548300,1085.25
2016-07-29,1072.59998,1076.75,1066.50,1073.84998,4078300,1073.84998
2016-07-28,1085.40002,1086.94995,1074.05005,1077.50,5629200,1077.50
2016-07-27,1084.69995,1096.50,1078.55005,1085.34998,3715900,1085.34998
2016-07-26,1070.34998,1089.90002,1070.34998,1088.69995,3594800,1088.69995
2016-07-25,1063.00,1083.25,1063.00,1080.84998,4234700,1080.84998
2016-07-22,1070.00,1079.90002,1066.69995,1072.44995,4693200,1072.44995
2016-07-21,1079.00,1087.19995,1075.59998,1079.90002,4334000,1079.90002
2016-07-20,1070.00,1089.90002,1070.00,1083.09998,4911400,1083.09998
2016-07-19,1088.59998,1090.00,1074.09998,1086.94995,5202300,1086.94995
2016-07-18,1077.25,1084.90002,1055.15002,1081.94995,7166400,1081.94995
2016-07-15,1189.50,1189.90002,1052.00,1072.55005,30742000,1072.55005
2016-07-14,1195.00,1196.05005,1164.00,1176.25,3706600,1176.25
2016-07-13,1180.00,1195.80005,1175.19995,1193.80005,2637700,1193.80005
2016-07-12,1180.00,1180.34998,1168.00,1176.55005,3098600,1176.55005
2016-07-11,1167.40002,1178.69995,1160.00,1175.05005,3334400,1175.05005
2016-07-08,1163.00,1167.00,1153.50,1158.19995,2775800,1158.19995
2016-07-07,1168.69995,1171.00,1155.00,1157.25,2977400,1157.25
2016-07-06,1175.44995,1175.44995,1175.44995,1175.44995,000,1175.44995
2016-07-05,1185.00,1187.50,1171.05005,1175.44995,1798200,1175.44995
2016-07-04,1176.19995,1194.59998,1176.19995,1183.94995,2690600,1183.94995
2016-07-01,1180.00,1180.00,1170.09998,1172.40002,1995900,1172.40002
2016-06-30,1180.50,1184.50,1167.94995,1170.80005,4673100,1170.80005
2016-06-29,1169.00,1179.90002,1160.19995,1176.84998,2729500,1176.84998
2016-06-28,1162.80005,1172.50,1155.09998,1159.15002,3827900,1159.15002
2016-06-27,1172.05005,1183.19995,1160.00,1166.19995,2791800,1166.19995
2016-06-24,1188.00,1199.00,1160.00,1194.55005,3904100,1194.55005
2016-06-23,1197.30005,1214.84998,1193.34998,1211.59998,1914300,1211.59998
2016-06-22,1204.00,1211.94995,1188.15002,1199.50,1515600,1199.50
2016-06-21,1211.19995,1214.80005,1195.65002,1206.09998,2380800,1206.09998
2016-06-20,1181.00,1211.80005,1179.69995,1208.75,3114700,1208.75
2016-06-17,1189.00,1192.75,1175.09998,1179.50,4257500,1179.50
2016-06-16,1189.50,1189.50,1170.09998,1186.00,2651200,1186.00
2016-06-15,1183.69995,1192.65002,1179.05005,1189.94995,3355700,1189.94995
2016-06-14,1182.40002,1182.40002,1167.25,1175.00,1470300,1175.00
2016-06-13,1176.80005,1184.90002,1166.00,1180.90002,2643300,1180.90002
2016-06-10,1175.40002,1190.00,1170.09998,1180.59998,3191900,1180.59998
2016-06-09,1226.25,1226.25,1180.05005,1185.50,6370400,1185.50
2016-06-08,1263.94995,1263.94995,1235.34998,1238.09998,4370600,1223.84994
2016-06-07,1267.00,1272.50,1255.09998,1257.40002,2846200,1242.92786
