Date,Open,High,Low,Close,Volume,Adj Close
2016-09-30,3462.00,3462.00,3392.00,3414.35,30000,3414.35
2016-09-29,3485.00,3495.95,3409.95,3428.50,23100,3428.50
2016-09-28,3475.00,3490.00,3439.50,3450.45,9000,3450.45
2016-09-27,3486.00,3499.90,3440.00,3450.55,25100,3450.55
2016-09-26,3565.00,3565.00,3450.95,3463.70,20100,3463.70
2016-09-23,3538.60,3553.45,3515.65,3531.75,12200,3531.75
2016-09-22,3500.00,3577.80,3500.00,3538.60,34000,3538.60
2016-09-21,3497.00,3510.00,3416.90,3460.00,28700,3460.00
2016-09-20,3558.00,3558.00,3460.00,3468.10,22000,3468.10
2016-09-19,3601.00,3617.15,3544.05,3554.30,21600,3554.30
2016-09-16,3556.70,3639.00,3529.95,3585.15,42100,3585.15
2016-09-15,3570.00,3573.00,3508.00,3522.60,28300,3522.60
2016-09-14,3530.00,3612.00,3530.00,3589.50,14500,3557.50
2016-09-13,3529.05,3529.05,3529.05,3529.05,000,3497.59
2016-09-12,3565.00,3565.00,3493.10,3529.05,27900,3497.59
2016-09-09,3690.00,3705.50,3568.65,3623.80,22500,3591.49
2016-09-08,3605.00,3739.90,3605.00,3697.65,34000,3664.69
2016-09-07,3699.80,3699.80,3578.35,3609.85,15000,3577.67
2016-09-06,3581.00,3650.00,3581.00,3614.05,25600,3581.83
2016-09-05,3578.55,3578.55,3578.55,3578.55,000,3546.65
2016-09-02,3580.00,3614.35,3553.85,3578.55,29500,3546.65
2016-09-01,3551.00,3597.15,3520.00,3546.90,27000,3515.28
2016-08-31,3480.00,3576.00,3480.00,3547.50,44300,3515.87
2016-08-30,3414.00,3483.40,3414.00,3473.35,37400,3442.39
2016-08-29,3316.50,3415.00,3282.00,3405.75,30800,3375.39
2016-08-26,3322.25,3334.00,3300.00,3316.80,13700,3287.23
2016-08-25,3305.00,3332.95,3290.00,3303.75,14600,3274.30
2016-08-24,3306.45,3323.00,3287.90,3309.50,16400,3280.00
2016-08-23,3382.00,3382.00,3296.15,3306.45,19400,3276.97
2016-08-22,3365.00,3365.00,3306.80,3337.95,14500,3308.19
2016-08-19,3380.00,3380.00,3343.80,3359.25,12100,3329.30
2016-08-18,3360.00,3410.00,3356.60,3369.40,28600,3339.36
2016-08-17,3313.50,3429.00,3308.05,3360.15,44900,3330.19
2016-08-16,3315.00,3320.00,3281.00,3294.70,9600,3265.33
2016-08-15,3313.30,3313.30,3313.30,3313.30,000,3283.76
2016-08-12,3310.00,3364.85,3301.50,3313.30,26300,3283.76
2016-08-11,3317.00,3369.95,3291.60,3303.80,22300,3274.35
2016-08-10,3424.00,3442.85,3303.00,3320.50,45100,3290.90
2016-08-09,3464.00,3490.00,3394.30,3407.30,101700,3376.92
2016-08-08,3525.00,3553.55,3410.00,3456.80,135200,3425.98
2016-08-05,3299.95,3455.65,3287.25,3434.30,47600,3403.68
2016-08-04,3255.00,3305.00,3250.00,3270.10,24200,3240.95
2016-08-03,3278.10,3305.90,3210.50,3237.10,32900,3208.24
2016-08-02,3220.00,3279.00,3201.95,3260.00,70500,3230.94
2016-08-01,3211.00,3395.00,3200.00,3219.35,17200,3190.65
2016-07-29,3190.00,3243.70,3176.55,3206.45,16600,3177.86
2016-07-28,3203.60,3229.45,3150.00,3192.30,37100,3163.84
2016-07-27,3210.30,3257.15,3189.90,3203.50,9200,3174.94
2016-07-26,3280.00,3281.00,3173.00,3210.30,20200,3181.68
2016-07-25,3260.35,3285.50,3250.00,3279.70,14600,3250.46
2016-07-22,3272.25,3285.85,3254.05,3260.35,6900,3231.28
2016-07-21,3300.00,3306.10,3260.30,3265.65,8900,3236.54
2016-07-20,3240.00,3283.00,3235.15,3276.60,11600,3247.39
2016-07-19,3260.00,3261.85,3208.00,3229.40,18500,3200.61
2016-07-18,3253.65,3291.15,3240.00,3254.50,21800,3225.49
2016-07-15,3270.00,3289.00,3220.45,3237.70,15700,3208.84
2016-07-14,3229.00,3271.00,3205.90,3251.30,27000,3222.32
2016-07-13,3250.00,3259.95,3220.00,3235.55,11400,3206.71
2016-07-12,3250.00,3259.35,3223.50,3243.75,17300,3214.83
2016-07-11,3170.00,3244.20,3170.00,3236.55,63800,3207.70
2016-07-08,3125.00,3170.00,3117.55,3160.20,17400,3132.03
2016-07-07,3130.00,3135.00,3090.70,3101.30,16300,3073.65
2016-07-06,3111.50,3111.50,3111.50,3111.50,000,3083.76
2016-07-05,3159.80,3161.70,3105.00,3111.50,12400,3083.76
