Date,Open,High,Low,Close,Volume,Adj Close
2016-09-30,1031.00,1043.84998,1031.00,1038.09998,221100,1038.09998
2016-09-29,1041.00,1044.00,1024.00,1029.90002,346200,1029.90002
2016-09-28,1040.00,1041.80005,1034.00,1038.59998,179800,1038.59998
2016-09-27,1035.69995,1049.55005,1035.00,1040.44995,179700,1040.44995
2016-09-26,1041.00,1043.00,1031.40002,1035.69995,740200,1035.69995
2016-09-23,1059.00,1059.84998,1040.00,1043.00,90200,1043.00
2016-09-22,1056.00,1060.65002,1051.59998,1058.50,70100,1058.50
2016-09-21,1051.00,1060.25,1051.00,1056.69995,93600,1056.69995
2016-09-20,1054.00,1057.25,1046.50,1050.34998,87800,1050.34998
2016-09-19,1050.00,1068.65002,1043.00,1061.15002,645600,1061.15002
2016-09-16,1051.00,1064.15002,1038.00,1060.34998,206400,1060.34998
2016-09-15,1048.00,1054.80005,1036.05005,1041.34998,149500,1041.34998
2016-09-14,1055.00,1057.30005,1043.00,1047.09998,392500,1047.09998
2016-09-13,1054.00,1054.00,1054.00,1054.00,000,1054.00
2016-09-12,1028.00,1057.19995,1026.00,1054.00,300700,1054.00
2016-09-09,1038.00,1040.75,1027.65002,1036.00,231600,1036.00
2016-09-08,1048.00,1050.00,1025.00,1037.90002,556300,1037.90002
2016-09-07,1045.00,1058.50,1043.50,1055.00,262200,1055.00
2016-09-06,1040.00,1048.90002,1035.00,1045.09998,286000,1045.09998
2016-09-05,1031.05005,1031.05005,1031.05005,1031.05005,000,1031.05005
2016-09-02,1037.00,1039.00,1026.80005,1031.05005,1044400,1031.05005
2016-09-01,1036.00,1039.90002,1032.25,1037.65002,103900,1037.65002
2016-08-31,1041.50,1046.00,1030.59998,1036.80005,213900,1036.80005
2016-08-30,1037.00,1055.09998,1024.80005,1041.00,188500,1041.00
2016-08-29,1020.00,1028.00,1011.79999,1022.25,200700,1022.25
2016-08-26,1037.00,1046.00,1017.09998,1020.75,181000,1020.75
2016-08-25,1058.00,1058.00,1032.30005,1036.55005,119600,1036.55005
2016-08-24,1045.00,1061.94995,1045.00,1057.55005,182200,1057.55005
2016-08-23,1016.45001,1041.00,1016.45001,1039.25,233200,1039.25
2016-08-22,1021.09998,1030.00,1009.20001,1015.40002,210600,1015.40002
2016-08-19,1026.50,1038.90002,1019.00,1021.09998,186700,1021.09998
2016-08-18,1035.00,1044.80005,1022.95001,1024.30005,229700,1024.30005
2016-08-17,1046.00,1051.90002,1030.50,1033.40002,203700,1033.40002
2016-08-16,1042.00,1058.00,1027.59998,1050.94995,331100,1050.94995
2016-08-15,1063.30005,1063.30005,1063.30005,1063.30005,000,1063.30005
2016-08-12,1075.00,1078.84998,1060.00,1063.30005,232300,1063.30005
2016-08-11,1081.90002,1094.00,1075.80005,1077.09998,209500,1077.09998
2016-08-10,1079.90002,1086.05005,1075.05005,1079.94995,127200,1079.94995
2016-08-09,1079.00,1084.25,1071.55005,1081.50,136500,1081.50
2016-08-08,1068.00,1082.59998,1061.65002,1078.80005,1039700,1078.80005
2016-08-05,1065.00,1074.00,1051.00,1067.40002,234600,1067.40002
2016-08-04,1090.00,1090.00,1070.00,1072.15002,208400,1072.15002
2016-08-03,1085.00,1087.25,1072.00,1085.00,160600,1085.00
2016-08-02,1089.90002,1089.90002,1076.05005,1084.30005,196300,1084.30005
2016-08-01,1074.00,1087.50,1069.00,1085.00,291500,1085.00
2016-07-29,1078.00,1078.00,1067.00,1073.94995,240300,1073.94995
2016-07-28,1087.55005,1087.55005,1076.05005,1079.19995,331000,1079.19995
2016-07-27,1088.69995,1097.09998,1080.00,1087.55005,375400,1087.55005
2016-07-26,1080.00,1089.80005,1074.00,1088.80005,238100,1088.80005
2016-07-25,1065.00,1083.00,1065.00,1080.50,223000,1080.50
2016-07-22,1075.00,1077.44995,1067.00,1072.65002,229700,1072.65002
2016-07-21,1080.00,1087.00,1075.50,1080.34998,966700,1080.34998
2016-07-20,1071.00,1089.50,1070.00,1083.05005,260400,1083.05005
2016-07-19,1086.50,1089.00,1075.00,1086.30005,693700,1086.30005
2016-07-18,1075.00,1084.44995,1056.00,1081.69995,949800,1081.69995
2016-07-15,1186.34998,1195.00,1058.30005,1072.25,2710800,1072.25
2016-07-14,1195.00,1195.05005,1165.19995,1175.84998,243800,1175.84998
2016-07-13,1180.00,1195.00,1175.09998,1193.15002,132200,1193.15002
2016-07-12,1174.00,1180.00,1168.00,1176.00,93200,1176.00
2016-07-11,1165.00,1178.00,1160.50,1174.84998,126900,1174.84998
2016-07-08,1177.19995,1177.19995,1153.19995,1158.75,1305500,1158.75
2016-07-07,1175.44995,1175.44995,1155.00,1157.19995,167600,1157.19995
2016-07-06,1175.44995,1175.44995,1175.44995,1175.44995,000,1175.44995
2016-07-05,1185.00,1185.50,1171.55005,1175.44995,73100,1175.44995
2016-07-04,1176.00,1194.80005,1176.00,1184.25,159200,1184.25
2016-07-01,1180.00,1180.55005,1170.00,1172.09998,97300,1172.09998
2016-06-30,1192.69995,1192.69995,1168.09998,1170.75,145000,1170.75
2016-06-29,1165.00,1179.34998,1161.25,1176.55005,119700,1176.55005
2016-06-28,1166.25,1173.00,1156.00,1161.05005,187600,1161.05005
2016-06-27,1176.00,1179.80005,1160.00,1166.25,192700,1166.25
2016-06-24,1199.00,1199.00,1159.00,1194.50,227000,1194.50
2016-06-23,1199.90002,1214.65002,1193.44995,1211.55005,159900,1211.55005
2016-06-22,1197.25,1211.69995,1190.00,1198.55005,76500,1198.55005
2016-06-21,1209.00,1215.00,1196.50,1205.90002,120300,1205.90002
2016-06-20,1178.19995,1211.90002,1177.90002,1208.59998,144300,1208.59998
2016-06-17,1190.00,1191.40002,1175.09998,1178.30005,103400,1178.30005
2016-06-16,1193.69995,1193.69995,1170.50,1186.19995,161200,1186.19995
2016-06-15,1180.00,1191.15002,1179.00,1189.19995,126800,1189.19995
2016-06-14,1183.09998,1184.90002,1167.75,1175.19995,99400,1175.19995
2016-06-13,1176.00,1185.80005,1166.25,1182.55005,121500,1182.55005
2016-06-10,1175.50,1190.00,1170.90002,1180.80005,247800,1180.80005
2016-06-09,1228.90002,1228.90002,1181.09998,1185.44995,495500,1185.44995
2016-06-08,1260.00,1264.94995,1236.00,1238.30005,202200,1224.05008
2016-06-07,1267.00,1272.00,1255.34998,1257.19995,295400,1242.73248
2016-06-06,1270.00,1277.25,1260.05005,1267.09998,49100,1252.51858
2016-06-03,1264.00,1278.00,1263.44995,1266.44995,63500,1251.87604
2016-06-02,1253.00,1274.00,1253.00,1260.25,105700,1245.74743
2016-06-01,1241.00,1267.50,1241.00,1256.44995,87600,1241.99111
2016-05-31,1268.00,1268.00,1239.00,1249.84998,72900,1235.46709
2016-05-30,1247.00,1270.00,1244.09998,1263.44995,132100,1248.91056
2016-05-27,1230.00,1256.84998,1230.00,1246.40002,169600,1232.05684
2016-05-26,1208.00,1236.90002,1208.00,1231.65002,112800,1217.47658
2016-05-25,1196.00,1212.84998,1196.00,1208.84998,54400,1194.9389
2016-05-24,1190.00,1194.00,1178.50,1188.19995,84700,1174.52651
2016-05-23,1201.50,1204.40002,1185.55005,1190.75,107200,1177.04722
2016-05-20,1204.00,1219.50,1200.05005,1201.75,49400,1187.92063
2016-05-19,1209.00,1215.84998,1201.09998,1205.34998,41800,1191.47918
2016-05-18,1203.50,1213.94995,1198.00,1209.75,66000,1195.82857
2016-05-17,1218.00,1225.00,1210.00,1214.05005,61800,1200.07914
2016-05-16,1210.00,1221.75,1208.00,1213.94995,80900,1199.98019
2016-05-13,1207.00,1209.00,1192.65002,1206.69995,82800,1192.81362
2016-05-12,1208.94995,1212.50,1197.80005,1210.19995,115700,1196.27335
2016-05-11,1205.00,1214.94995,1193.00,1201.05005,109100,1187.22874
2016-05-10,1200.00,1216.00,1196.40002,1212.55005,74200,1198.5964
2016-05-09,1190.00,1200.50,1181.55005,1199.15002,76200,1185.35058
2016-05-06,1192.00,1192.00,1176.69995,1181.44995,73500,1167.85419
2016-05-05,1191.00,1199.00,1181.84998,1192.44995,531500,1178.72761
2016-05-04,1191.00,1192.50,1171.55005,1189.55005,108000,1175.86108
2016-05-03,1200.00,1212.05005,1174.30005,1180.75,138500,1167.1623
2016-05-02,1214.00,1214.00,1196.30005,1200.65002,116400,1186.83332
2016-04-29,1212.00,1224.40002,1206.00,1210.84998,93900,1196.91589
2016-04-28,1233.00,1239.90002,1210.05005,1211.44995,517600,1197.50896
2016-04-27,1229.90002,1242.00,1228.19995,1240.00,69400,1225.73046
2016-04-26,1215.00,1239.00,1209.00,1232.94995,120700,1218.76155
2016-04-25,1214.00,1224.44995,1201.05005,1217.05005,129200,1203.04461
2016-04-22,1221.00,1229.00,1210.00,1213.84998,96300,1199.88137
2016-04-21,1250.00,1250.00,1219.00,1226.40002,151400,1212.28699
2016-04-20,1245.00,1249.94995,1225.50,1243.25,151900,1228.94306
2016-04-19,1238.80005,1238.80005,1238.80005,1238.80005,000,1224.54432
2016-04-18,1245.55005,1267.90002,1233.44995,1238.80005,753800,1224.54432
2016-04-15,1172.05005,1172.05005,1172.05005,1172.05005,000,1158.56246
2016-04-14,1172.05005,1172.05005,1172.05005,1172.05005,000,1158.56246
2016-04-13,1194.00,1195.00,1166.50,1172.05005,801800,1158.56246
2016-04-12,1185.00,1194.94995,1178.59998,1182.30005,170000,1168.69451
2016-04-11,1167.00,1187.25,1151.40002,1184.40002,147700,1170.77032
2016-04-08,1175.00,1178.00,1162.05005,1167.34998,92100,1153.91647
2016-04-07,1212.00,1214.84998,1164.00,1181.65002,5832000,1168.05196
2016-04-06,1224.50,1228.00,1197.00,1201.09998,103200,1187.27809
2016-04-05,1243.00,1243.00,1215.00,1218.59998,246600,1204.5767
2016-04-04,1212.00,1249.90002,1212.00,1243.55005,119100,1229.23966
2016-04-01,1212.00,1221.80005,1197.00,1205.90002,123200,1192.0229
2016-03-31,1210.00,1228.94995,1200.59998,1217.94995,113800,1203.93416
2016-03-30,1200.00,1209.00,1196.00,1205.80005,78500,1191.92408
2016-03-29,1200.00,1217.50,1191.59998,1198.94995,114500,1185.15281
2016-03-28,1229.94995,1234.65002,1196.19995,1204.69995,162200,1190.83664
2016-03-25,1207.75,1207.75,1207.75,1207.75,000,1193.85159
2016-03-24,1207.75,1207.75,1207.75,1207.75,000,1193.85159
2016-03-23,1189.00,1212.00,1181.94995,1207.75,159900,1193.85159
2016-03-22,1194.00,1194.00,1172.30005,1189.90002,106800,1176.20702
2016-03-21,1187.00,1199.00,1180.19995,1195.00,120100,1181.24831
2016-03-18,1161.00,1195.80005,1161.00,1190.19995,148300,1176.5035
2016-03-17,1156.00,1169.90002,1154.00,1160.19995,67100,1146.84873
2016-03-16,1139.94995,1154.90002,1132.05005,1152.00,69800,1138.74314
2016-03-15,1146.00,1153.90002,1129.00,1134.34998,75900,1121.29623
2016-03-14,1150.00,1154.50,1138.00,1140.94995,74800,1127.82025
2016-03-11,1146.00,1156.09998,1139.00,1142.50,79100,1129.35246
2016-03-10,1164.00,1164.09998,1142.94995,1145.94995,1577900,1132.76271
2016-03-09,1147.00,1183.80005,1144.00,1178.50,119600,1164.93819
2016-03-08,1170.00,1190.00,1148.00,1163.55005,126700,1150.16028
2016-03-07,1170.55005,1170.55005,1170.55005,1170.55005,000,1157.07972
2016-03-04,1170.00,1184.40002,1160.00,1170.55005,125900,1157.07972
2016-03-03,1169.00,1192.90002,1155.15002,1169.15002,197000,1155.69581
2016-03-02,1132.00,1162.00,1125.00,1156.25,198900,1142.94423
2016-03-01,1098.00,1131.00,1089.00,1124.50,126100,1111.5596
2016-02-29,1130.00,1130.00,1069.34998,1083.75,215500,1071.27854
2016-02-26,1113.00,1130.75,1113.00,1121.05005,160600,1108.14935
2016-02-25,1125.00,1130.40002,1102.00,1111.25,289800,1098.46208
2016-02-24,1123.00,1143.94995,1119.00,1125.40002,205200,1112.44927
2016-02-23,1133.00,1133.00,1117.05005,1123.94995,79700,1111.01588
2016-02-22,1133.00,1133.00,1114.30005,1125.30005,107000,1112.35044
2016-02-19,1122.90002,1133.25,1114.65002,1124.00,74900,1111.06536
2016-02-18,1097.00,1126.44995,1097.00,1122.69995,90700,1109.78027
2016-02-17,1082.00,1101.40002,1077.00,1095.44995,388300,1082.84385
2016-02-16,1090.00,1092.00,1075.15002,1081.00,290800,1068.56019
2016-02-15,1090.00,1099.94995,1086.80005,1091.34998,1511000,1078.79106
2016-02-12,1086.00,1103.50,1067.00,1083.50,162800,1071.03142
2016-02-11,1114.00,1114.00,1072.34998,1081.15002,122400,1068.70849
2016-02-10,1108.00,1127.00,1105.55005,1110.15002,119300,1097.37476
2016-02-09,1130.00,1130.00,1094.00,1109.30005,151200,1096.53457
2016-02-08,1170.00,1171.80005,1143.34998,1149.09998,105700,1135.87649
2016-02-05,1179.00,1185.44995,1172.09998,1174.94995,64200,1161.42899
2016-02-04,1164.00,1193.59998,1161.75,1179.90002,111100,1166.3221
2016-02-03,1171.00,1175.00,1152.69995,1158.15002,59000,1144.82239
2016-02-02,1172.00,1188.25,1168.00,1174.80005,159200,1161.28081
2016-02-01,1170.00,1179.84998,1163.00,1171.30005,81300,1157.82109
2016-01-29,1135.00,1169.69995,1132.00,1164.84998,253700,1151.44524
2016-01-28,1138.00,1142.50,1127.69995,1131.34998,51700,1118.33075
2016-01-27,1149.40002,1149.84998,1136.00,1138.34998,65100,1125.2502
2016-01-26,1137.65002,1137.65002,1137.65002,1137.65002,000,1124.5583
2016-01-25,1140.00,1146.94995,1125.59998,1137.65002,82900,1124.5583
2016-01-22,1140.00,1152.00,1130.00,1135.90002,114500,1122.82844
2016-01-21,1128.00,1142.50,1122.50,1136.50,158100,1123.42151
2016-01-20,1139.09998,1145.00,1116.59998,1121.65002,210900,1108.74242
2016-01-19,1135.00,1158.69995,1129.50,1139.09998,357100,1125.99157
2016-01-18,1138.00,1161.44995,1128.00,1131.94995,182300,1118.92382
2016-01-15,1145.00,1163.44995,1136.55005,1140.19995,245700,1127.07888
2016-01-14,1068.00,1155.00,1054.94995,1128.69995,1741600,1115.71122
